height,weight,age,isManOfTheMatch,isActive,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonName,isOpta,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking,originCountry
176,69,27,False,True,Spain,26,6,1,1,5,0.7307692307692301,0.192307692307692,Denis Suárez,Denis,Suárez,106525,Midfielder,62,Celta Vigo,2019/2020,True,Spain,LaLiga,6.855384615384616,1636,3,0,80.86500655307994,64,Spain
178,68,29,False,True,Spain,30,3,0,1,2,0.2,1.0,Sergi Roberto,Sergi,Roberto,90782,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,6.854666666666666,2342,7,0,91.75769612711024,65,Spain
183,81,30,False,True,Spain,27,7,2,2,2,1.222222222222222,1.8518518518518512,Rubén Alcaraz,Rubén,Alcaraz,279711,Midfielder,58,Real Valladolid,2019/2020,True,Spain,LaLiga,6.849259259259259,1926,10,0,79.38044530493707,66,Spain
180,74,23,False,True,Spain,29,5,2,2,2,0.137931034482758,0.482758620689655,Frenkie de Jong,Frenkie,de Jong,279423,Midfielder,65,Barcelona,2019/2020,True,Spain,LaLiga,6.846896551724138,2121,1,1,91.80929095354523,67,Netherlands
199,96,28,False,True,Spain,34,0,0,0,0,0.029411764705882002,0.14705882352941102,Thibaut Courtois,Thibaut,Courtois,73798,Goalkeeper,52,Real Madrid,2019/2020,True,Spain,LaLiga,6.844117647058825,3060,1,0,75.05668934240363,68,Belgium
172,61,33,False,True,Spain,31,0,3,1,4,0.6774193548387091,1.290322580645161,Damián Suárez,Damián,Suárez,83705,Defender,819,Getafe,2019/2020,True,Spain,LaLiga,6.840645161290322,2599,15,1,64.9425287356322,69,Uruguay
185,72,24,False,False,Spain,34,13,4,10,3,1.3823529411764701,3.058823529411764,Carlos Fernández,Carlos,Fernández,140812,Forward,925,Granada,2019/2020,True,Spain,LaLiga,6.838235294117645,2195,8,0,59.6694214876033,70,Spain
171,73,24,False,False,Spain,21,7,0,3,3,0.38095238095238004,0.14285714285714202,Arthur,Arthur Henrique,Ramos de Oliveira Melo,284114,Midfielder,65,Barcelona,2019/2020,True,Spain,LaLiga,6.8380952380952404,1185,1,0,91.54375614552606,71,Brazil
190,72,24,False,True,Spain,20,1,2,2,0,0.5,2.8,Joaquín Fernández,Joaquín,Fernández,365371,Midfielder,58,Real Valladolid,2019/2020,True,Spain,LaLiga,6.8375,1661,9,0,78.83870967741935,72,Spain
178,72,32,False,True,Spain,36,5,4,7,8,2.166666666666666,0.805555555555555,Roberto Torres,Roberto,Torres,109349,Midfielder,131,Osasuna,2019/2020,True,Spain,LaLiga,6.833055555555556,2723,1,0,70.4812834224599,73,Spain
180,75,33,False,False,Spain,33,17,1,8,2,0.757575757575757,0.9696969696969691,Arturo Vidal,Arturo,Vidal,25008,Midfielder,65,Barcelona,2019/2020,True,Spain,LaLiga,6.832121212121213,1663,4,0,88.379705400982,74,Chile
189,87,31,False,True,Spain,34,0,1,0,0,0.0,0.23529411764705802,Sergio Asenjo,Sergio,Asenjo,32258,Goalkeeper,839,Villarreal,2019/2020,True,Spain,LaLiga,6.828529411764706,3060,2,0,67.54285714285714,75,Spain
178,65,26,False,False,Spain,20,6,2,1,4,1.35,0.85,Jason,David,Remeseiro Salgueiro,131051,Midfielder,819,Getafe,2019/2020,True,Spain,LaLiga,6.827500000000001,1184,5,0,63.60655737704918,76,Spain
